Id,Name,Type,UnitPrice
0de45cf24f,Espresso,Coffee,3000
279de9cfc4,RedVelvetCake,Cake,6000
597b4124c6,Cappuccino,Coffee,3500
eb17344a7c,RedVelvetCake,Cake,6000
bc9049a47c,StrawberryCake,Cake,4500
d94f038f10,OrangeCake,Cake,4500
c51488b5c7,OrangeCake,Cake,4500
5471eaaf6a,Mocha,Coffee,4000
265368ac71,LemonCake,Cake,5000
984c2861eb,GrapeCake,Cake,5000
d3676fa286,OrangeCake,Cake,4500
b0317232a9,ChocolateCake,Cake,5500
1895a26a31,GrapeCake,Cake,5000
721abdc6d6,GrapeCake,Cake,5000
84ed04a9b5,Cappuccino,Coffee,3500
ac5349ccd9,Cappuccino,Coffee,3500
f24316eb37,Latte,Coffee,3500
6f4fc89280,RedVelvetCake,Cake,6000
eb33ddf280,StrawberryCake,Cake,4500
d914062430,OrangeCake,Cake,4500
