Id,Name,Type,Address
0dc8558d4e8f58fd0594e1bcbff48de70d18f7ec135310b4b4e1329961a77f0f,이디야 성동2호점,이디야,서울특별시 마포구 72길 78
2bd8c7aba56a14785e7bc92347e6b2d27497c657211e07166afdf703750d5f35,폴바셋 건대8호점,폴바셋,서울특별시 중구 21길 62
e7a7ec96c5c5a4924a4f5dc969b4f188caa181c9615ff64dc0586d14327df29f,메가커피 신촌4호점,메가커피,서울특별시 광진구 88길 1
e7a7ec96c5c5a4924a4f5dc969b4f188caa181c9615ff64dc0586d14327df29f,메가커피 건대8호점,메가커피,대구광역시 남구 45길 89
cdaef590828668d234fd8e55fb41562eca545963becd1651eec6e9c11f96f6ed,커피빈 송파6호점,커피빈,서울특별시 강북구 33길 47
0dc8558d4e8f58fd0594e1bcbff48de70d18f7ec135310b4b4e1329961a77f0f,이디야 신촌7호점,이디야,대구광역시 동구 48길 65
cdaef590828668d234fd8e55fb41562eca545963becd1651eec6e9c11f96f6ed,커피빈 성동1호점,커피빈,서울특별시 양천구 68길 15
e7a7ec96c5c5a4924a4f5dc969b4f188caa181c9615ff64dc0586d14327df29f,메가커피 홍대4호점,메가커피,대구광역시 중구 99길 66
2bd8c7aba56a14785e7bc92347e6b2d27497c657211e07166afdf703750d5f35,폴바셋 홍대7호점,폴바셋,대구광역시 군위군 4길 8
eb5d12ab52487406b4923ce45ee58088dcd6c22e08ba83fd21cc8748b9085bf6,빽당방 건대2호점,빽당방,서울특별시 중랑구 71길 49
044f74822bd63a2ced0b9eafe8c2915606e3316ab7431509ca22ef1982de9c94,투썸플레이스 강남7호점,투썸플레이스,대구광역시 달서구 65길 26
cdaef590828668d234fd8e55fb41562eca545963becd1651eec6e9c11f96f6ed,커피빈 강서7호점,커피빈,대구광역시 수성구 76길 70
cdaef590828668d234fd8e55fb41562eca545963becd1651eec6e9c11f96f6ed,커피빈 홍대5호점,커피빈,대구광역시 달서구 53길 44
0e0c141f3e7ffeacf6264ea6978fa106624139a77f27ca5e99890c0b47278a5f,엔젤리너스 건대7호점,엔젤리너스,서울특별시 노원구 9길 51
6f80c60267f6bc734d4d01007d4d84dc2c5018da3526941018af6fa355d8da23,스타벅스 잠실3호점,스타벅스,대구광역시 남구 19길 6
044f74822bd63a2ced0b9eafe8c2915606e3316ab7431509ca22ef1982de9c94,투썸플레이스 홍대0호점,투썸플레이스,대구광역시 대구광역시 88길 44
eb5d12ab52487406b4923ce45ee58088dcd6c22e08ba83fd21cc8748b9085bf6,빽당방 홍대5호점,빽당방,대구광역시 중구 90길 49
0e0c141f3e7ffeacf6264ea6978fa106624139a77f27ca5e99890c0b47278a5f,엔젤리너스 송파5호점,엔젤리너스,대구광역시 수성구 58길 77
